"№","Код","name","size","palletSize","weight","opt","price"
"","","01. Стеновые блоки","","","","",""
"","","1 Блок 1/2 390х120х88","","","","",""
"1","З-00833","Бетонный блок  1/2 390x120x88 серый","Поддон 120*80","192","6.4","30.45","35"
"2","З-00834","Бетонный блок 1/2 390x120x88 Rio","Поддон 120*80","192","6.4","35.67","41"
"3","З-00876","Бетонный блок 1/2 390x120x88 Белый","Поддон 120*80","192","6.4","43.5","50"
"4","З-00852","Бетонный блок 1/2 390x120x88 коричневый № 655","Поддон 120*80","192","6.4","35.67","41"
"5","З-00853","Бетонный блок 1/2 390x120x88 красн № 130","Поддон 120*80","192","6.4","35.67","41"
"6","З-00854","Бетонный блок 1/2 390x120x88 оливковый 420","Поддон 120*80","192","6.4","35.67","41"
"7","З-00855","Бетонный блок 1/2 390x120x88 терракота 503","Поддон 120*80","192","6.4","35.67","41"
"8","З-00856","Бетонный блок 1/2 390x120x88 черный № 330","Поддон 120*80","192","6.4","35.67","41"
"9","З-01117","Бетонный блок 1/2 390x120x88 Элит (0.8%-420)","Поддон 120*80","192","6.4","50.46","58"
"10","З-00857","Бетонный блок 1/2 390x120x88 элит (1%-420, 0,3%-960)","Поддон 120*80","192","6.4","50.46","58"
"11","З-01157","Бетонный блок 1/2 390x120x88 Элит (2% - 420)","Поддон 120*80","192","6.4","50.46","58"
"12","З-01152","Бетонный блок 1/2 390x120x88 Элит (2% - 503)","Поддон 120*80","192","6.4","50.46","58"
"","","2 Блок колотый 1/2 188х120х190","","","","",""
"13","З-00839","Бетонный блок  колотый 1/2 188x120x190 серый","Поддон 120*80","180","6.2","31.32","36"
"14","З-00838","Бетонный блок колотый  1/2 188x120x190 Rio","Поддон 120*80","180","6.2","36.54","42"
"15","З-00864","Бетонный блок колотый  1/2 188x120x190 черный № 330","Поддон 120*80","180","6.2","36.54","42"
"16","З-00863","Бетонный блок колотый 1/2 188x120x190 Белый","Поддон 120*80","180","6.2","53.94","62"
"17","З-00860","Бетонный блок колотый 1/2 188x120x190 коричневый № 655","Поддон 120*80","180","6.2","36.54","42"
"18","З-00861","Бетонный блок колотый 1/2 188x120x190 красн № 130","Поддон 120*80","180","6.2","36.54","42"
"19","З-00862","Бетонный блок колотый 1/2 188x120x190 оливковый 420","Поддон 120*80","180","6.2","36.54","42"
"20","З-00865","Бетонный блок колотый 1/2 188x120x190 терракота 503","Поддон 120*80","180","6.2","36.54","42"
"21","З-01154","Бетонный блок колотый 1/2 188x120x190 Элит (0.8%-420)","Поддон 120*80","180","6.2","63.51","73"
"22","З-00866","Бетонный блок колотый 1/2 188x120x190 элит (1%-420, 0,3%-960)","Поддон 120*80","180","6.2","63.51","73"
"23","З-00921","Бетонный блок колотый 1/2 188x120x190 элит (2% - 420)","Поддон 120*80","180","6.2","63.51","73"
"24","З-01116","Бетонный блок колотый 1/2 188x120x190 Элит (2% - 503)","Поддон 120*80","180","6.2","63.51","73"
"","","3 Блок  1/4 188х120х88","","","","",""
"25","З-00841","_Бетонный блок 1/4 188x120x88 серый","Поддон 120*80","384","3.1","15.66","18"
"26","З-00842","Бетонный блок  1/4 188x120x88 Rio","Поддон 120*80","384","3.1","20.01","23"
"27","З-00869","Бетонный блок 1/4 188x120x88 Белый","Поддон 120*80","384","3.1","26.97","31"
"28","З-00870","Бетонный блок 1/4 188x120x88 коричневый № 655","Поддон 120*80","384","3.1","20.01","23"
"29","З-00871","Бетонный блок 1/4 188x120x88 красн № 130","Поддон 120*80","384","3.1","20.01","23"
"30","З-00872","Бетонный блок 1/4 188x120x88 оливковый 420","Поддон 120*80","384","3.1","20.01","23"
"31","З-00873","Бетонный блок 1/4 188x120x88 терракота 503","Поддон 120*80","384","3.1","20.01","23"
"32","З-00874","Бетонный блок 1/4 188x120x88 черный № 330","Поддон 120*80","384","3.1","20.01","23"
"33","З-01118","Бетонный блок 1/4 188x120x88 Элит (0.8%-420)","Поддон 120*80","384","3.1","32.19","37"
"34","З-00875","Бетонный блок 1/4 188x120x88 элит (1%-420, 0,3%-960)","Поддон 120*80","384","3.1","32.19","37"
"35","З-01153","Бетонный блок 1/4 188x120x88 Элит (2% - 503)","Поддон 120*80","384","3.1","32.19","37"
"","","Блок  39х10х19","","","","",""
"36","Ц-00001","Бетонный блок 39x10x19 серый","Поддон 120*80","120","10","33.06","38"
"37","Ц-00006","Бетонный блок 39x10x19 бежевый № 960","Поддон 120*80","120","10","38.28","44"
"38","Ц-00009","Бетонный блок 39x10x19 Белый","Поддон 120*80","120","10","58.29","67"
"39","Ц-00007","Бетонный блок 39x10x19 коричневый № 655","Поддон 120*80","120","10","38.28","44"
"40","Ц-00002","Бетонный блок 39x10x19 красн № 130","Поддон 120*80","120","10","38.28","44"
"41","Ц-00005","Бетонный блок 39x10x19 оливковый 420","Поддон 120*80","120","10","38.28","44"
"42","Ц-00003","Бетонный блок 39x10x19 терракота 503","Поддон 120*80","120","10","38.28","44"
"43","Ц-00004","Бетонный блок 39x10x19 черный № 330","Поддон 120*80","120","10","38.28","44"
"44","З-00704","Бетонный блок 39x10x19 Элит (0,5%-420)","Поддон 120*80","120","10","64.38","74"
"45","З-00712","Бетонный блок 39x10x19 Элит (0.8%-420)","Поддон 120*80","120","10","64.38","74"
"46","З-00164","Бетонный блок 39x10x19 Элит (1%-420, 0,3%-960)","Поддон 120*80","120","10","64.38","74"
"47","З-00330","Бетонный блок 39x10x19 Элит (2% - 420)","Поддон 120*80","120","10","64.38","74"
"48","З-00465","Бетонный блок 39x10x19 Элит (2% - 503)","Поддон 120*80","120","10","64.38","74"
"49","З-00793","Бетонный блок 39x10x19 Элит (2%-130)","Поддон 120*80","120","10","64.38","74"
"50","З-00744","Бетонный блок 39x10x19 Элит (2%-960)","Поддон 120*80","120","10","64.38","74"
"","","Блок  39х12х19","","","","",""
"51","О-00063","Бетонный блок 39х12х19 серый","Поддон 120*80","96","12","45.24","52"
"52","О-00064","Бетонный блок 39х12х19 бежевый № 960","Поддон 120*80","96","12","53.94","62"
"53","О-00068","Бетонный блок 39х12х19 Белый","Поддон 120*80","96","12","80.04000000000001","92"
"54","О-00140","Бетонный блок 39х12х19 коричневый № 655","Поддон 120*80","96","12","53.94","62"
"55","О-00066","Бетонный блок 39х12х19 красн № 130","Поддон 120*80","96","12","53.94","62"
"56","О-00065","Бетонный блок 39х12х19 оливковый 420","Поддон 120*80","96","12","53.94","62"
"57","О-00067","Бетонный блок 39х12х19 терракота 503","Поддон 120*80","96","12","53.94","62"
"58","З-00131","Бетонный блок 39х12х19 черный № 330","Поддон 120*80","96","12","53.94","62"
"59","З-00789","Бетонный блок 39х12х19 Элит (0.8%-420)","Поддон 120*80","96","12","89.61","103"
"60","З-00130","Бетонный блок 39х12х19 Элит (1%-420, 0,3%-960)","Поддон 120*80","96","12","89.61","103"
"61","З-00129","Бетонный блок 39х12х19 Элит (2% - 420)","Поддон 120*80","96","12","89.61","103"
"62","З-00341","Бетонный блок 39х12х19 Элит (2% - 503)","Поддон 120*80","96","12","89.61","103"
"63","З-00714","Бетонный блок 39х12х19 Элит (2%-130)","Поддон 120*80","96","12","89.61","103"
"64","З-00708","Бетонный блок 39х12х19 Элит (2%-960)","Поддон 120*80","96","12","89.61","103"
"","","Блок  39х19х19","","","","",""
"65","Ц-00012","_Бетонный блок 39x19x19 серый","Поддон 120*80","60","18","62.64","72"
"66","Ц-00017","Бетонный блок 39x19x19 бежевый № 960","Поддон 120*80","60","18","78.3","90"
"67","Ц-00020","Бетонный блок 39x19x19 Белый","Поддон 120*80","60","18","100.05","115"
"68","Ц-00018","Бетонный блок 39x19x19 коричневый № 655","Поддон 120*80","60","18","78.3","90"
"69","Ц-00013","Бетонный блок 39x19x19 красн № 130","Поддон 120*80","60","18","78.3","90"
"70","Ц-00016","Бетонный блок 39x19x19 оливковый № 420","Поддон 120*80","60","18","78.3","90"
"71","Ц-00014","Бетонный блок 39x19x19 терракота № 503","Поддон 120*80","60","18","78.3","90"
"72","Ц-00015","Бетонный блок 39x19x19 черный № 330","Поддон 120*80","60","18","78.3","90"
"73","З-00326","Бетонный блок 39x19x19 элит (1%-420, 0,3%-960)","Поддон 120*80","60","18","112.23","129"
"74","З-00350","Бетонный блок 39x19x19 элит (2% - 420)","Поддон 120*80","60","18","112.23","129"
"75","З-00630","Бетонный блок 39x19x19 элит (2% - 503)","Поддон 120*80","60","18","112.23","129"
"76","П-00072","Бетонный блок 39x19x19 Элит (2%-130)","Поддон 120*80","60","18","112.23","129"
"","","Блок ""Столб"" 30х30х30","","","","",""
"77","Ц-00033","_Бетонный блок ""Столб"" 30х30х30 серый","Поддон 120*80","36","30","123.54","142"
"78","Ц-00064","Бетонный блок ""Столб"" 30х30х30 бежевый № 960","Поддон 120*80","36","30","145.29","167"
"79","Ц-00067","Бетонный блок ""Столб"" 30х30х30 Белый","Поддон 120*80","36","30","195.75","225"
"80","Ц-00065","Бетонный блок ""Столб"" 30х30х30 коричневый № 655","Поддон 120*80","36","30","145.29","167"
"81","Ц-00060","Бетонный блок ""Столб"" 30х30х30 красн № 130","Поддон 120*80","36","30","145.29","167"
"82","Ц-00063","Бетонный блок ""Столб"" 30х30х30 оливковый 420","Поддон 120*80","36","30","145.29","167"
"83","Ц-00061","Бетонный блок ""Столб"" 30х30х30 терракота № 503","Поддон 120*80","36","30","145.29","167"
"84","Ц-00062","Бетонный блок ""Столб"" 30х30х30 черный № 330","Поддон 120*80","36","30","145.29","167"
"85","З-00785","Бетонный блок ""Столб"" 30х30х30 Элит (0.8%-420)","Поддон 120*80","36","30","214.89","247"
"86","З-00144","Бетонный блок ""Столб"" 30х30х30 Элит (1%-420, 0,3%-960)","Поддон 120*80","36","30","214.89","247"
"87","З-00417","Бетонный блок ""Столб"" 30х30х30 элит (2% - 420)","Поддон 120*80","36","30","214.89","247"
"88","З-00426","Бетонный блок ""Столб"" 30х30х30 элит (2% - 503)","Поддон 120*80","36","30","214.89","247"
"89","З-00719","Бетонный блок ""Столб"" 30х30х30 Элит (2%-130)","Поддон 120*80","36","30","214.89","247"
"90","З-00745","Бетонный блок ""Столб"" 30х30х30 Элит (2%-960)","Поддон 120*80","36","30","214.89","247"
"","","Блок ""Столб"" круглый","","","","",""
"91","З-00752","_Бетонный блок ""Столб"" круглый серый","Поддон 120*80","36","27","123.54","142"
"92","З-00796","Бетонный блок ""Столб"" 30х30х30 круглый коричневый № 655","Поддон 120*80","36","27","145.29","167"
"93","З-00998","Бетонный блок ""Столб"" 30х30х30 круглый терракота 503","Поддон 120*80","36","27","145.29","167"
"","","Блок ""Фальшстолб""","","","","",""
"94","З-01133","Блок ""Фальшстолб"" 36х30х4,5 серый","Поддон 120*80"," ","9.6","104.4","120"
"95","З-01159","Блок ""Фальшстолб"" 36х30х4,5 бежевый № 960","Поддон 120*80"," ","5","121.8","140"
"96","З-01135","Блок ""Фальшстолб"" 36х30х4,5 Белый","Поддон 120*80"," ","9.6","154.86","178"
"97","З-01158","Блок ""Фальшстолб"" 36х30х4,5 терракота 503","Поддон 120*80"," ","5","121.8","140"
"98","З-01134","Блок ""Фальшстолб"" 36х30х4,5 черный № 330","Поддон 120*80"," ","5","121.8","140"
"99","З-01160","Блок ""Фальшстолб"" 36х30х4,5 Элит (1%-420, 0,3%-960)","Поддон 120*80"," ","9.6","178.35","205"
"100","З-01136","Блок ""Фальшстолб"" 36х30х4,5 Элит (2% - 503)","Поддон 120*80"," ","9.6","178.35","205"
"","","Блок Именной камень ""СТОУН ТЭК""","","","","",""
