Наименование товаров,Тара,в пал.,Вес,Цена
01. Стеновые блоки,,,,
1 Блок 1/2 390х120х88,,,,
Бетонный блок 1/2 390x120x88 серый (базовый),Поддон 120*80,192,6.4,"35,00"
Бетонный блок 1/2 390x120x88 Rio,Поддон 120*80,192,6.4,"41,00"
Бетонный блок 1/2 390x120x88 бежевый № 960,Поддон 120*80,192,6.4,"41,00"
Бетонный блок 1/2 390x120x88 Белый,Поддон 120*80,192,6.4,"46,00"
Бетонный блок 1/2 390x120x88 коричневый № 655,Поддон 120*80,192,6.4,"41,00"
Бетонный блок 1/2 390x120x88 красн № 130,Поддон 120*80,192,6.4,"41,00"
Бетонный блок 1/2 390x120x88 оливковый 420,Поддон 120*80,192,6.4,"41,00"
Бетонный блок 1/2 390x120x88 терракота 503,Поддон 120*80,192,6.4,"41,00"
Бетонный блок 1/2 390x120x88 черный № 330,Поддон 120*80,192,6.4,"41,00"
"Бетонный блок 1/2 390x120x88 элит (1%-420, 0,3%-960)",Поддон 120*80,192,6.4,"54,00"
2 Блок колотый 1/2 188х120х190,,,,
Бетонный блок колотый 1/2 188x120x190 серый (базовый),Поддон 120*80,180,6.2,"36,00"
Бетонный блок колотый 1/2 188x120x190 Rio,Поддон 120*80,180,6.2,"42,00"
Бетонный блок колотый 1/2 188x120x190 бежевый № 960,Поддон 120*80,180,6.2,"42,00"
Бетонный блок колотый 1/2 188x120x190 черный № 330,Поддон 120*80,180,6.2,"42,00"
Бетонный блок колотый 1/2 188x120x190 Белый,Поддон 120*80,180,6.2,"58,00"
Бетонный блок колотый 1/2 188x120x190 коричневый № 655,Поддон 120*80,180,6.2,"42,00"
Бетонный блок колотый 1/2 188x120x190 красн № 130,Поддон 120*80,180,6.2,"42,00"
Бетонный блок колотый 1/2 188x120x190 оливковый 420,Поддон 120*80,180,6.2,"42,00"
Бетонный блок колотый 1/2 188x120x190 терракота 503,Поддон 120*80,180,6.2,"42,00"
"Бетонный блок колотый 1/2 188x120x190 элит (1%-420, 0,3%-960)",Поддон 120*80,180,6.2,"68,00"
Бетонный блок колотый 1/2 188x120x190 элит (2% - 420),Поддон 120*80,180,6.2,"68,00"
3 Блок 1/4 188х120х88,,,,
_Бетонный блок 1/4 188x120x88 серый (базовый),Поддон 120*80,384,3.1,"18,00"
Бетонный блок 1/4 188x120x88 Rio,Поддон 120*80,384,3.1,"23,00"
Бетонный блок 1/4 188x120x88 бежевый № 960,Поддон 120*80,384,3.1,"23,00"
Бетонный блок 1/4 188x120x88 Белый,Поддон 120*80,384,3.1,"29,00"
Бетонный блок 1/4 188x120x88 коричневый № 655,Поддон 120*80,384,3.1,"23,00"
Бетонный блок 1/4 188x120x88 красн № 130,Поддон 120*80,384,3.1,"23,00"
Бетонный блок 1/4 188x120x88 оливковый 420,Поддон 120*80,384,3.1,"23,00"
Бетонный блок 1/4 188x120x88 терракота 503,Поддон 120*80,384,3.1,"23,00"
Бетонный блок 1/4 188x120x88 черный № 330,Поддон 120*80,384,3.1,"23,00"
"Бетонный блок 1/4 188x120x88 элит (1%-420, 0,3%-960)",Поддон 120*80,384,3.1,"34,00"
Блок 39х19х10,,,,
_Бетонный блок 39x19x10 серый (базовый),Поддон 120*80,120,10,"38,00"
Бетонный блок 39x19x10 бежевый № 960,Поддон 120*80,120,10,"44,00"
Бетонный блок 39x19x10 Белый,Поддон 120*80,120,10,"62,00"
Бетонный блок 39x19x10 коричневый № 655,Поддон 120*80,120,10,"44,00"
Бетонный блок 39x19x10 кофе+молоко F8000,Поддон 120*80,120,10,"44,00"
Бетонный блок 39x19x10 красн № 130,Поддон 120*80,120,10,"44,00"
Бетонный блок 39x19x10 оливковый 420,Поддон 120*80,120,10,"44,00"
Бетонный блок 39x19x10 терракота 503,Поддон 120*80,120,10,"44,00"
Бетонный блок 39x19x10 черный № 330,Поддон 120*80,120,10,"44,00"
"Бетонный блок 39x19x10 Элит ( 0,3% -960, 0,7% -420)",Поддон 120*80,120,10,"69,00"
"Бетонный блок 39x19x10 Элит ( 0,3% -960, 1% -420)",Поддон 120*80,120,10,"69,00"
"Бетонный блок 39x19x10 Элит ( 0,7% -960,0,3% -420)",Поддон 120*80,120,10,"69,00"
Бетонный блок 39x19x10 Элит ( 2%-420),Поддон 120*80,120,10,"69,00"
"Бетонный блок 39x19x10 Элит (0,3%-420)",Поддон 120*80,120,10,"69,00"
"Бетонный блок 39x19x10 Элит (0,5%-420)",Поддон 120*80,120,10,"69,00"
"Бетонный блок 39x19x10 Элит (0,8%-420)",Поддон 120*80,120,10,"69,00"
Бетонный блок 39x19x10 элит (2% - 503),Поддон 120*80,120,10,"69,00"
Бетонный блок 39x19x10 Элит (2%-130),Поддон 120*80,120,10,"69,00"
Бетонный блок 39x19x10 Элит (2%-960),Поддон 120*80,120,10,"69,00"
Блок 39х19х12,,,,
_Бетонный блок 39х19х12 серый (базовый),Поддон 120*80,96,12,"52,00"
Бетонный блок 39х19х12 бежевый № 960,Поддон 120*80,96,12,"62,00"
Бетонный блок 39х19х12 Белый,Поддон 120*80,96,12,"86,00"
Бетонный блок 39х19х12 коричневый № 655,Поддон 120*80,96,12,"62,00"
Бетонный блок 39х19х12 кофе+молоко F8000,Поддон 120*80,96,12,"62,00"
Бетонный блок 39х19х12 красн № 130,Поддон 120*80,96,12,"62,00"
Бетонный блок 39х19х12 оливковый №420,Поддон 120*80,96,12,"62,00"
Бетонный блок 39х19х12 терракота № 503,Поддон 120*80,96,12,"62,00"
Бетонный блок 39х19х12 черный № 330,Поддон 120*80,96,12,"62,00"
"Бетонный блок 39х19х12 Элит (0,3%-420, 0,7%-960)",Поддон 120*80,96,12,"96,00"
"Бетонный блок 39х19х12 Элит (0,3%-960, 0,7%-420)",Поддон 120*80,96,12,"96,00"
Бетонный блок 39х19х12 Элит (0.8%-420),Поддон 120*80,96,12,"96,00"
Бетонный блок 39х19х12 элит (2% - 503),Поддон 120*80,96,12,"96,00"
"Бетонный блок 39х19х12 Элит (420 - 1%), (960-0,3%)",Поддон 120*80,96,12,"96,00"
"Бетонный блок 39х19х12 Элит 0,3%-960",Поддон 120*80,96,12,"96,00"
Бетонный блок 39х19х12 Элит 130-(%2),Поддон 120*80,96,12,"96,00"
Бетонный блок 39х19х12 Элит 2%-960,Поддон 120*80,96,12,"96,00"
"Бетонный блок 39х19х12 Элит 420 (0,1%)",Поддон 120*80,96,12,"96,00"
"Бетонный блок 39х19х12 Элит 420 (0,3%)",Поддон 120*80,96,12,"96,00"
Бетонный блок 39х19х12 Элит 420 (2%),Поддон 120*80,96,12,"96,00"
Блок 39х19х19,,,,
_Бетонный блок 39x19x19 серый (базовый),Поддон 120*80,60,18,"72,00"
Бетонный блок 39x19x19 бежевый № 960,Поддон 120*80,60,18,"90,00"
Бетонный блок 39x19x19 Белый,Поддон 120*80,60,18,"107,00"
Бетонный блок 39x19x19 коричневый № 655,Поддон 120*80,60,18,"90,00"
Бетонный блок 39x19x19 кофе+молоко F8000,Поддон 120*80,60,18,"90,00"
Бетонный блок 39x19x19 красн № 130,Поддон 120*80,60,18,"90,00"
Бетонный блок 39x19x19 красн № 130 (3%),Поддон 120*80,60,18,"120,00"
Бетонный блок 39x19x19 оливковый № 420,Поддон 120*80,60,18,"90,00"
Бетонный блок 39x19x19 терракота № 503,Поддон 120*80,60,18,"90,00"
Бетонный блок 39x19x19 черный № 330,Поддон 120*80,60,18,"90,00"
"Бетонный блок 39x19x19 элит ( 0,7%-960, 0,3%-420)",Поддон 120*80,60,18,"120,00"
"Бетонный блок 39x19x19 элит (1%-420, 0,3%-960)",Поддон 120*80,60,18,"120,00"
Бетонный блок 39x19x19 элит (2% - 420),Поддон 120*80,60,18,"120,00"
Бетонный блок 39x19x19 элит (2% - 503),Поддон 120*80,60,18,"120,00"
"Блок ""Столб"" 30х30х30",,,,
"_Бетонный блок ""Столб"" 30х30х30 серый (базовый)",Поддон 120*80,36,30,"142,00"
"Бетонный блок ""Столб"" 30х30х30 бежевый № 960",Поддон 120*80,36,30,"167,00"
"Бетонный блок ""Столб"" 30х30х30 Белый",Поддон 120*80,36,30,"210,00"
"Бетонный блок ""Столб"" 30х30х30 коричневый № 655",Поддон 120*80,36,30,"167,00"
"Бетонный блок ""Столб"" 30х30х30 кофе+молоко F8000",Поддон 120*80,36,30,"167,00"
"Бетонный блок ""Столб"" 30х30х30 красн № 130",Поддон 120*80,36,30,"167,00"
"Бетонный блок ""Столб"" 30х30х30 оливковый 420",Поддон 120*80,36,30,"167,00"
"Бетонный блок ""Столб"" 30х30х30 терракота № 503",Поддон 120*80,36,30,"167,00"
"Бетонный блок ""Столб"" 30х30х30 черный № 330",Поддон 120*80,36,30,"167,00"
"Бетонный блок ""Столб"" 30х30х30 элит (0,7%- 960, 0,3%- 420)",Поддон 120*80,36,30,"231,00"
"Бетонный блок ""Столб"" 30х30х30 Элит (0.8%-420)",Поддон 120*80,36,30,"231,00"
"Бетонный блок ""Столб"" 30х30х30 Элит (1%-420, 0,3%-960)",Поддон 120*80,36,30,"231,00"
"Бетонный блок ""Столб"" 30х30х30 Элит (130-2%)",Поддон 120*80,36,30,"231,00"
"Бетонный блок ""Столб"" 30х30х30 элит (2% - 420)",Поддон 120*80,36,30,"231,00"
"Бетонный блок ""Столб"" 30х30х30 элит (2% - 503)",Поддон 120*80,36,30,"231,00"
"Бетонный блок ""Столб"" 30х30х30 Элит (2%-960)",Поддон 120*80,36,30,"231,00"
"Блок ""Столб"" круглый",,,,
"_Бетонный блок ""Столб"" круглый серый (базовый)",Поддон 120*80,36,27,"142,00"
"Бетонный блок ""Столб"" круглый бежевый № 960",Поддон 120*80,36,27,"167,00"
"Бетонный блок ""Столб"" круглый Белый",Поддон 120*80,36,27,"210,00"
"Бетонный блок ""Столб"" круглый красн № 130",Поддон 120*80,36,27,"167,00"
"Бетонный блок ""Столб"" круглый оливковый 420",Поддон 120*80,36,27,"167,00"
"Бетонный блок ""Столб"" круглый терракота № 503",Поддон 120*80,36,27,"167,00"
"Бетонный блок ""Столб"" круглый Элит (1%-420, 0,3%-960)",Поддон 120*80,36,27,"231,00"
"Бетонный блок ""Столб"" круглый элит (2% - 420)",Поддон 120*80,36,27,"231,00"
"Бетонный блок ""Столб"" круглый элит (2% - 503)",Поддон 120*80,36,27,"231,00"
"Бетонный блок ""Столб"" круглый коричневый 655",Поддон 120*80,36,27,"167,00"
Блок колотый 39х19х12,,,,
_Бетонный блок колотый 39х19х12 серый (базовый),Поддон 120*80,96,12,"70,00"
Бетонный блок колотый 390x120x190 Rio,Поддон 120*80,96,12,"82,00"
Бетонный блок колотый 39х19х12 бежевый № 960,Поддон 120*80,96,12,"82,00"
Бетонный блок колотый 39х19х12 Белый,Поддон 120*80,96,12,"113,00"
Бетонный блок колотый 39х19х12 коричневый № 655,Поддон 120*80,96,12,"82,00"
Бетонный блок колотый 39х19х12 кофе+молоко F8000,Поддон 120*80,96,12,"82,00"
Бетонный блок колотый 39х19х12 красн № 130,Поддон 120*80,96,12,"82,00"
Бетонный блок колотый 39х19х12 оливковый № 420,Поддон 120*80,96,12,"82,00"
Бетонный блок колотый 39х19х12 Темно-серый,Поддон 120*80,96,12,"78,00"
Бетонный блок колотый 39х19х12 терракота № 503,Поддон 120*80,96,12,"82,00"
Бетонный блок колотый 39х19х12 черный № 330,Поддон 120*80,96,12,"82,00"
"Бетонный блок колотый 39х19х12 Элит (0,3%-420)",Поддон 120*80,96,12,"134,00"
"Бетонный блок колотый 39х19х12 Элит (0,5%-420)",Поддон 120*80,96,12,"134,00"
